date,1. open,2. high,3. low,4. close,5. volume
2024-08-09 19:45:00,163.5,163.8,163.45,163.59,3622.0
2024-08-09 19:30:00,163.4,163.65,163.4,163.59,991.0
2024-08-09 19:15:00,163.48,163.5,163.343,163.45,468.0
2024-08-09 19:00:00,163.48,163.48,163.32,163.4,2014.0
2024-08-09 18:45:00,163.39,163.55,163.32,163.33,1062.0
2024-08-09 18:30:00,163.39,163.46,163.32,163.43,990.0
2024-08-09 18:15:00,163.27,163.44,163.16,163.35,1696.0
2024-08-09 18:00:00,163.25,163.38,163.15,163.25,1462.0
2024-08-09 17:45:00,163.3,163.46,163.1,163.25,1936.0
2024-08-09 17:30:00,163.29,163.46,162.93,163.2,1167.0
2024-08-09 17:15:00,163.2,163.67,163.16,163.67,2023.0
2024-08-09 17:00:00,163.1,169.689,157.364,163.17,10468.0
2024-08-09 16:45:00,163.35,166.703,162.95,163.09,550339.0
2024-08-09 16:30:00,163.65,163.65,163.31,163.35,14351.0
2024-08-09 16:15:00,163.67,163.8,163.64,163.66,53725.0
2024-08-09 16:00:00,163.64,163.94,161.109,163.67,6258090.0
2024-08-09 15:45:00,163.18,163.79,163.14,163.64,3072935.0
2024-08-09 15:30:00,162.49,163.19,162.47,163.185,1156801.0
2024-08-09 15:15:00,162.22,162.54,162.12,162.48,743679.0
2024-08-09 15:00:00,161.72,162.32,161.63,162.22,705703.0
2024-08-09 14:45:00,161.788,161.97,161.55,161.72,409010.0
2024-08-09 14:30:00,161.59,161.81,161.35,161.79,402895.0
2024-08-09 14:15:00,161.57,161.65,161.31,161.61,712236.0
2024-08-09 14:00:00,161.24,161.74,161.157,161.58,543592.0
2024-08-09 13:45:00,161.39,161.46,161.09,161.225,1023183.0
2024-08-09 13:30:00,161.25,161.5,161.01,161.4,725909.0
2024-08-09 13:15:00,160.74,161.25,160.716,161.25,431796.0
2024-08-09 13:00:00,159.945,160.749,159.87,160.71,487409.0
2024-08-09 12:45:00,159.62,159.95,159.41,159.94,539252.0
2024-08-09 12:30:00,159.62,159.75,159.53,159.62,409650.0
2024-08-09 12:15:00,159.45,159.75,159.33,159.62,424953.0
2024-08-09 12:00:00,159.8,159.967,159.365,159.44,583658.0
2024-08-09 11:45:00,160.105,160.15,159.695,159.79,539401.0
2024-08-09 11:30:00,159.815,160.29,159.815,160.095,599202.0
2024-08-09 11:15:00,159.785,160.04,159.573,159.81,688031.0
2024-08-09 11:00:00,160.16,160.24,159.715,159.785,959738.0
2024-08-09 10:45:00,159.44,160.54,159.44,160.13,949737.0
2024-08-09 10:30:00,160.29,160.33,159.08,159.45,1249496.0
2024-08-09 10:15:00,160.36,160.5,160.02,160.26,807479.0
2024-08-09 10:00:00,160.19,160.583,159.96,160.37,1217483.0
2024-08-09 09:45:00,160.34,160.644,159.92,160.17,1248802.0
2024-08-09 09:30:00,160.01,161.05,159.06,160.32,3019484.0
2024-08-09 09:15:00,159.6,163.14,159.23,159.84,157488.0
2024-08-09 09:00:00,159.02,159.6,158.8,159.55,121105.0
2024-08-09 08:45:00,159.13,170.29,158.55,159.06,104135.0
2024-08-09 08:30:00,159.6,159.65,158.858,159.15,128579.0
